permit_number,address,type,value
CP25111000,"1294 Independence Blvd, Charlotte, NC",NEW CONSTRUCTION,"$143,695"
CP25111001,"7217 Tryon St, Charlotte, NC",REPAIR,"$87,205"
CP25111002,"1207 Tryon St, Charlotte, NC",NEW CONSTRUCTION,"$228,743"
CP25111003,"2493 Trade St, Charlotte, NC",ADDITION,"$278,253"
CP25111004,"1298 Tryon St, Charlotte, NC",REPAIR,"$119,629"
CP25111005,"2284 Providence Rd, Charlotte, NC",ALTERATION,"$278,820"
CP25111006,"8520 Providence Rd, Charlotte, NC",ALTERATION,"$247,023"
CP25111007,"2022 South Blvd, Charlotte, NC",ADDITION,"$251,966"
CP25111008,"7469 Tryon St, Charlotte, NC",NEW CONSTRUCTION,"$265,075"
CP25111009,"6438 Independence Blvd, Charlotte, NC",NEW CONSTRUCTION,"$228,996"
CP25111010,"5263 Providence Rd, Charlotte, NC",REPAIR,"$168,578"
CP25111011,"3716 Providence Rd, Charlotte, NC",NEW CONSTRUCTION,"$170,073"
CP25111012,"7646 Providence Rd, Charlotte, NC",REMODEL,"$277,041"
CP25111013,"6124 South Blvd, Charlotte, NC",NEW CONSTRUCTION,"$155,214"
CP25111014,"826 Independence Blvd, Charlotte, NC",NEW CONSTRUCTION,"$187,580"
CP25111015,"6214 South Blvd, Charlotte, NC",ADDITION,"$282,387"
CP25111016,"6587 Tryon St, Charlotte, NC",REPAIR,"$265,514"
CP25111017,"5774 Tryon St, Charlotte, NC",REMODEL,"$267,769"
CP25111018,"749 Trade St, Charlotte, NC",NEW CONSTRUCTION,"$77,913"
CP25111019,"5922 Independence Blvd, Charlotte, NC",REPAIR,"$167,479"
CP25111020,"1752 Providence Rd, Charlotte, NC",REMODEL,"$168,722"
CP25111021,"3645 Providence Rd, Charlotte, NC",REMODEL,"$155,953"
CP25111022,"9420 Providence Rd, Charlotte, NC",ADDITION,"$62,960"
CP25111023,"7629 Independence Blvd, Charlotte, NC",ADDITION,"$295,268"
CP25111024,"9837 Tryon St, Charlotte, NC",NEW CONSTRUCTION,"$145,930"
CP25111025,"4033 Tryon St, Charlotte, NC",REPAIR,"$78,932"
CP25111026,"5990 South Blvd, Charlotte, NC",ADDITION,"$146,124"
CP25111027,"522 Tryon St, Charlotte, NC",ALTERATION,"$189,649"
CP25111028,"8870 South Blvd, Charlotte, NC",REPAIR,"$204,506"
CP25111029,"2423 Independence Blvd, Charlotte, NC",NEW CONSTRUCTION,"$127,041"
CP25111030,"4249 South Blvd, Charlotte, NC",ADDITION,"$98,554"
CP25111031,"4182 Tryon St, Charlotte, NC",NEW CONSTRUCTION,"$223,741"
CP25111032,"7214 South Blvd, Charlotte, NC",REPAIR,"$158,782"
CP25111033,"4571 South Blvd, Charlotte, NC",ADDITION,"$227,415"
CP25111034,"3390 Providence Rd, Charlotte, NC",ALTERATION,"$68,755"
CP25111035,"3819 South Blvd, Charlotte, NC",ALTERATION,"$211,883"
CP25111036,"4465 Independence Blvd, Charlotte, NC",REMODEL,"$282,004"
CP25111037,"2127 Independence Blvd, Charlotte, NC",NEW CONSTRUCTION,"$220,372"
CP25111038,"9549 Tryon St, Charlotte, NC",NEW CONSTRUCTION,"$285,265"
CP25111039,"197 Independence Blvd, Charlotte, NC",REPAIR,"$186,855"
CP25111040,"7244 Independence Blvd, Charlotte, NC",NEW CONSTRUCTION,"$263,697"
CP25111041,"8260 Independence Blvd, Charlotte, NC",REPAIR,"$128,074"
CP25111042,"1654 Tryon St, Charlotte, NC",ALTERATION,"$145,443"
CP25111043,"1131 South Blvd, Charlotte, NC",ALTERATION,"$70,493"
CP25111044,"8668 Tryon St, Charlotte, NC",NEW CONSTRUCTION,"$53,103"
CP25111045,"9601 Tryon St, Charlotte, NC",REMODEL,"$65,345"
CP25111046,"1344 South Blvd, Charlotte, NC",ADDITION,"$60,950"
CP25111047,"3093 Tryon St, Charlotte, NC",REMODEL,"$239,293"
CP25111048,"1949 Independence Blvd, Charlotte, NC",ALTERATION,"$155,167"
CP25111049,"4412 Tryon St, Charlotte, NC",REPAIR,"$149,448"
