permit_number,address,type,value
2025-150017 PP,"5816 SWEDISH FARMS TER, Nashville, TN",Plumbing Permit,$225167
2025-151172 BP,"11204 GORHAM GLEN CT, Nashville, TN",Building Permit,$106464
2025-147408 EP,"11812 1/2 CAMERON RD, Nashville, TN",Electrical Permit,$159494
2025-150795 BP,"4315 S 1ST ST, Nashville, TN",Building Permit,$184551
2025-070259 PP,"8812 MARMOSET WAY, Nashville, TN",Plumbing Permit,$136449
2025-150243 PP,"6009 SWEDISH FARMS TER, Nashville, TN",Plumbing Permit,$80650
2025-135954 EP,"50 BELLA TOSCANA AVE BLDG 2, Nashville, TN",Electrical Permit,$189495
2025-037544 EP,"1505 W BRAKER LN BLDG A, Nashville, TN",Electrical Permit,$280228
2025-072121 PP,"8810 MARMOSET WAY, Nashville, TN",Plumbing Permit,$207423
2025-104180 EP,"4405 SINCLAIR AVE Unit 1, Nashville, TN",Electrical Permit,$288296
2025-139489 EP,"3901 BALCONES DR, Nashville, TN",Electrical Permit,$106117
2025-150235 PP,"5812 SWEDISH FARMS TER, Nashville, TN",Plumbing Permit,$111772
2025-071632 PP,"8808 MARMOSET WAY, Nashville, TN",Plumbing Permit,$173344
2025-132348 PP,"210 W MOCKINGBIRD LN BLDG 1, Nashville, TN",Plumbing Permit,$135814
2025-148973 BP,"7300 TANBARK CV, Nashville, TN",Building Permit,$63193
2025-150070 PP,"507 E WONSLEY DR, Nashville, TN",Plumbing Permit,$170778
2025-150051 BP,"1600 SPRINGDALE RD, Nashville, TN",Building Permit,$242300
2025-148196 PP,"5303 DOWNS DR, Nashville, TN",Plumbing Permit,$68644
2025-150401 PP,"8200 NEELY DR UNIT 201, Nashville, TN",Plumbing Permit,$220462
2025-150014 PP,"6012 ALFRED ACRES DR, Nashville, TN",Plumbing Permit,$250960
2025-150239 PP,"6004 SWEDISH FARMS TER, Nashville, TN",Plumbing Permit,$188164
2025-148196 BP,"5303 DOWNS DR, Nashville, TN",Building Permit,$144572
2025-149287 EP,"1909 WESTRIDGE DR, Nashville, TN",Electrical Permit,$61197
2025-095656 EP,"98 RED RIVER ST, Nashville, TN",Electrical Permit,$165199
2025-150056 EP,"5506 DELWOOD DR, Nashville, TN",Electrical Permit,$211017
2025-149064 MP,"5701 JOHNNY MORRIS RD--UNIT 43, Nashville, TN",Mechanical Permit,$290782
2025-079213 EP,"3410 GREENWAY, Nashville, TN",Electrical Permit,$128976
2025-073165 EP,"1206 PARKWAY, Nashville, TN",Electrical Permit,$245909
2025-151529 BP,"12110 CANTABRIA RD, Nashville, TN",Building Permit,$262154
2025-150208 PP,"2803 FIRECREST DR, Nashville, TN",Plumbing Permit,$72422
2025-149795 PP,"8021 PONCHO PASS UNIT 1, Nashville, TN",Plumbing Permit,$97191
2025-147800 EP,"3203 CLAWSON RD, Nashville, TN",Electrical Permit,$268688
2025-149698 PP,"2618 MARIA ANNA RD, Nashville, TN",Plumbing Permit,$243544
2025-149777 BP,"4007 EDGEROCK DR, Nashville, TN",Building Permit,$111184
2025-132350 PP,"210 W MOCKINGBIRD LN BLDG 3, Nashville, TN",Plumbing Permit,$217287
2025-151555 BP,"11112 LIBERTY FARMS DR, Nashville, TN",Building Permit,$124700
2025-150285 BP,"3232 E CESAR CHAVEZ ST UNIT 2240, Nashville, TN",Building Permit,$72836
2025-151197 BP,"4801 TRAVIS COUNTRY CIR, Nashville, TN",Building Permit,$186535
2025-149797 PP,"8021 PONCHO PASS UNIT 2, Nashville, TN",Plumbing Permit,$190399
2025-102997 PP,"2002 GREENWOOD AVE, Nashville, TN",Plumbing Permit,$246357
2025-134548 BP,"1511 HARDOUIN AVE, Nashville, TN",Building Permit,$224804
2025-149776 BP,"4007 EDGEROCK DR, Nashville, TN",Building Permit,$281288
2025-047763 MP,"406 OERTLI LN, Nashville, TN",Mechanical Permit,$294820
2025-149261 PP,"2706 TOWY RD, Nashville, TN",Plumbing Permit,$209979
2025-144025 EP,"2801 WARREN ST BLDG A, Nashville, TN",Electrical Permit,$126491
2025-149678 PP,"4306 WILDRIDGE CIR, Nashville, TN",Plumbing Permit,$94497
2025-150527 BP,"1806 WILDROSE DR, Nashville, TN",Building Permit,$236841
2025-140453 MP,"1141 RICHARDINE AVE, Nashville, TN",Mechanical Permit,$242232
2025-150287 BP,"3232 E CESAR CHAVEZ ST UNIT 2260, Nashville, TN",Building Permit,$241792
2025-135431 MP,"5204 MARTIN AVE BLDG B, Nashville, TN",Mechanical Permit,$228116
