permit_number,issue_date,work_type,project_name,description,address,city,zip_code,owner_name,contractor,contractor_phone,estimated_cost,status,council_district
NSH251110000,2025-11-13,ADDITION,Addition Project,ADDITION at 3055 Broadway,3055 Broadway,Nashville,37201,Wilson Properties,East Nashville Construction,(615) 601-3243,183180,APPROVED,22
NSH251110001,2025-11-19,COMMERCIAL,Commercial Project,COMMERCIAL at 4109 Nolensville Pike,4109 Nolensville Pike,Nashville,37209,Martinez LLC,Tennessee Premier Builders,N/A,358997,APPROVED,34
NSH251110002,2025-11-23,ADDITION,Addition Project,ADDITION at 5430 Church St,5430 Church St,Nashville,37205,Thomas Enterprises,East Nashville Construction,(615) 248-5325,492541,PENDING,2
NSH251110003,2025-11-16,ROOFING,Roofing Project,ROOFING at 4696 Franklin Pike,4696 Franklin Pike,Nashville,37209,Johnson Properties,Nashville Builders LLC,N/A,46031,ISSUED,21
NSH251110004,2025-11-28,ROOFING,Roofing Project,ROOFING at 8578 Hillsboro Pike,8578 Hillsboro Pike,Nashville,37208,Wilson Properties,Volunteer State Contractors,(615) 448-7786,9379,FINAL,34
NSH251110005,2025-11-07,REPAIR,Repair Project,REPAIR at 2809 Charlotte Ave,2809 Charlotte Ave,Nashville,37201,Miller Construction,Franklin Construction,(615) 999-9064,37720,FINAL,19
NSH251110006,2025-11-14,ELECTRICAL,Electrical Project,ELECTRICAL at 7139 Murfreesboro Pike,7139 Murfreesboro Pike,Nashville,37212,Martinez LLC,Green Hills Builders,(615) 479-3272,75886,FINAL,2
NSH251110007,2025-11-07,RESIDENTIAL,Residential Project,RESIDENTIAL at 8089 Charlotte Ave,8089 Charlotte Ave,Nashville,37201,Martinez LLC,Cumberland Construction Co,N/A,69546,FINAL,33
NSH251110008,2025-11-27,RESIDENTIAL,Residential Project,RESIDENTIAL at 1725 Dickerson Pike,1725 Dickerson Pike,Nashville,37208,Davis Investments,Tennessee Premier Builders,(615) 984-9666,98890,PENDING,2
NSH251110009,2025-11-27,ALTERATION,Alteration Project,ALTERATION at 6513 Nolensville Pike,6513 Nolensville Pike,Nashville,37211,Johnson Properties,Tennessee Premier Builders,(615) 627-6049,13126,ISSUED,19
NSH251110010,2025-11-25,ALTERATION,Alteration Project,ALTERATION at 7123 Nolensville Pike,7123 Nolensville Pike,Nashville,37204,Davis Investments,Green Hills Builders,N/A,25308,APPROVED,2
