permit_number,issue_date,work_type,project_name,description,address,city,zip_code,owner_name,contractor,contractor_phone,estimated_cost,status,council_district
SA25111000,2025-11-26,REPAIR,San Antonio Project 1,Construction work at 9885 San Pedro Ave,396 Main St,San Antonio,78256,San Antonio Property Owner 1,San Antonio Builders LLC 1,(210) 959-4197,349814,APPROVED,District 6
SA25111001,2025-11-20,NEW CONSTRUCTION,San Antonio Project 2,Construction work at 3203 Main St,951 Houston St,San Antonio,78222,San Antonio Property Owner 2,San Antonio Builders LLC 2,(210) 498-4190,109039,ISSUED,District 3
SA25111002,2025-11-23,REPAIR,San Antonio Project 3,Construction work at 6811 Commerce St,2239 Commerce St,San Antonio,78233,San Antonio Property Owner 3,San Antonio Builders LLC 3,(210) 555-9684,397506,APPROVED,District 6
SA25111003,2025-11-13,ELECTRICAL,San Antonio Project 4,Construction work at 116 Houston St,5075 Houston St,San Antonio,78210,San Antonio Property Owner 4,San Antonio Builders LLC 4,(210) 318-4492,353132,FINALED,District 9
SA25111004,2025-11-14,ELECTRICAL,San Antonio Project 5,Construction work at 274 San Pedro Ave,9182 San Pedro Ave,San Antonio,78231,San Antonio Property Owner 5,San Antonio Builders LLC 5,(210) 208-5921,434813,APPROVED,District 8
SA25111005,2025-11-17,REMODEL,San Antonio Project 6,Construction work at 6344 Houston St,4263 Main St,San Antonio,78266,San Antonio Property Owner 6,San Antonio Builders LLC 6,(210) 648-9147,135101,APPROVED,District 8
SA25111006,2025-11-11,REPAIR,San Antonio Project 7,Construction work at 4353 Broadway,8663 Main St,San Antonio,78297,San Antonio Property Owner 7,San Antonio Builders LLC 7,(210) 546-2758,468957,ISSUED,District 9
SA25111007,2025-11-05,ELECTRICAL,San Antonio Project 8,Construction work at 2357 Main St,943 San Pedro Ave,San Antonio,78233,San Antonio Property Owner 8,San Antonio Builders LLC 8,(210) 358-5966,143752,ISSUED,District 10
SA25111008,2025-11-19,REPAIR,San Antonio Project 9,Construction work at 7020 San Pedro Ave,9478 Houston St,San Antonio,78285,San Antonio Property Owner 9,San Antonio Builders LLC 9,(210) 588-9306,499787,APPROVED,District 10
SA25111009,2025-11-27,ADDITION,San Antonio Project 10,Construction work at 4575 Commerce St,3040 Broadway,San Antonio,78222,San Antonio Property Owner 10,San Antonio Builders LLC 10,(210) 378-1448,264323,APPROVED,District 6
SA25111010,2025-11-04,NEW CONSTRUCTION,San Antonio Project 11,Construction work at 2542 Commerce St,3386 Broadway,San Antonio,78259,San Antonio Property Owner 11,San Antonio Builders LLC 1,(210) 993-5449,361422,ISSUED,District 8
SA25111011,2025-11-27,PLUMBING,San Antonio Project 12,Construction work at 8126 San Pedro Ave,8436 San Pedro Ave,San Antonio,78286,San Antonio Property Owner 12,San Antonio Builders LLC 2,(210) 375-5665,474201,FINALED,District 3
SA25111012,2025-11-03,ELECTRICAL,San Antonio Project 13,Construction work at 782 Commerce St,6447 Main St,San Antonio,78219,San Antonio Property Owner 13,San Antonio Builders LLC 3,(210) 331-6999,426643,FINALED,District 7
SA25111013,2025-11-25,REPAIR,San Antonio Project 14,Construction work at 7015 Broadway,4335 Commerce St,San Antonio,78289,San Antonio Property Owner 14,San Antonio Builders LLC 4,(210) 325-7935,110089,FINALED,District 4
SA25111014,2025-11-11,PLUMBING,San Antonio Project 15,Construction work at 3987 Broadway,5380 Main St,San Antonio,78284,San Antonio Property Owner 15,San Antonio Builders LLC 5,(210) 559-8976,86683,FINALED,District 3
