permit_number,issue_date,work_type,project_name,description,address,city,zip_code,owner_name,contractor,contractor_phone,estimated_cost,status,council_district
2025-142919 EP,2025-11-27,N/A,Upgrading the electrical service from 125A to 200A.  Installing new lever-bypass meter can for overhead service,Upgrading the electrical service from 125A to 200A.  Installing new lever-bypass meter can for overhead service,2913 STONEWAY DR,Austin,N/A,N/A,N/A,5129609732,0,N/A,7
2025-145276 PP,2025-11-27,N/A,Express- repair drywall flooring cabinets as a result of water leak and interior flooding [main house],Express- repair drywall flooring cabinets as a result of water leak and interior flooding [main house],1904 W 33RD ST BLDG A,Austin,N/A,N/A,N/A,7372636253,0,N/A,10
2025-146746 EP,2025-11-27,N/A,"Tenant Alteration of Existing Space to create a Pilates Studio for Suite 125: Includes Plumbing Electrical and Mechanical Scopes
2025 116461 DA - Approved","Tenant Alteration of Existing Space to create a Pilates Studio for Suite 125: Includes Plumbing Electrical and Mechanical Scopes
2025 116461 DA - Approved",9722 GREAT HILLS TRL UNIT 125,Austin,N/A,N/A,N/A,7373204092,0,N/A,10
2025-150356 PP,2025-11-27,N/A,Installation of a gas line to a generator from meter along the side of the house.,Installation of a gas line to a generator from meter along the side of the house.,4600 DESTINYS GATE DR,Austin,N/A,N/A,N/A,5126268661,0,N/A,7
2025-141048 EP,2025-11-27,N/A,"client currently has Federal Pacific and violations with the city of Austin code department 

our scope of work entails re-building  main electrical service back to a 400 amp up to code service 
inside unit D sub panel replacement and a new 60 amp sub feed","client currently has Federal Pacific and violations with the city of Austin code department 

our scope of work entails re-building  main electrical service back to a 400 amp up to code service 
inside unit D sub panel replacement and a new 60 amp sub feed",202 NORTHCREST CIR,Austin,N/A,N/A,N/A,2549878333,0,N/A,4
2025-146581 EP,2025-11-27,N/A,"electrical permit was a repair. weather head needed to be replaced.

UNIT A &B

*Bldg  B houses the meters","electrical permit was a repair. weather head needed to be replaced.

UNIT A &B

*Bldg  B houses the meters",1812 MAPLE AVE BLDG B,Austin,N/A,N/A,N/A,2549878333,0,N/A,1
2025-133378 EP,2025-11-27,N/A,New in-ground pool (no spa or heater),New in-ground pool (no spa or heater),7101 N UTE TRL,Austin,N/A,N/A,N/A,5124979275,0,N/A,6
2025-151771 EP,2025-11-26,N/A,"New Construction of Multifamily Apartments in ETJ
HP1- 1 Meter
HP2- 1 Meter
HP3- 1 Meter
MC1- 54 Meters
MC2- 45 Meters
MC3- 45 Meters
MC4- 54 Meters
MC5- 54 Meters
MC6- 48 Meters
MSB1- 1 Meter","New Construction of Multifamily Apartments in ETJ
HP1- 1 Meter
HP2- 1 Meter
HP3- 1 Meter
MC1- 54 Meters
MC2- 45 Meters
MC3- 45 Meters
MC4- 54 Meters
MC5- 54 Meters
MC6- 48 Meters
MSB1- 1 Meter",8705 DECKER LAKE RD BLDG 1,Austin,N/A,N/A,N/A,8327667281,0,N/A,N/A
2025-147043 EP,2025-11-26,N/A,New Construction in the ETJ SFR,New Construction in the ETJ SFR,8705 DECKER LAKE RD BLDG 2,Austin,N/A,N/A,N/A,8327667281,0,N/A,N/A
2025-130426 EP,2025-11-26,N/A,Update: Bathroom finishes and fixtures. Convert tub to shower,Update: Bathroom finishes and fixtures. Convert tub to shower,7005 COLBERG CT,Austin,N/A,N/A,N/A,5124660223,100.0,N/A,8
2025-094570 PP,2025-11-26,N/A,NEW 16 x 35 PORTABLE DAYCARE BUILDING.,NEW 16 x 35 PORTABLE DAYCARE BUILDING.,7202 DEE ST,Austin,N/A,N/A,N/A,2109862480,0,N/A,5
2025-149988 EP,2025-11-26,N/A,Interior remodeling move electrical frame non-structural walls drywall paint flooring trim remodel of existing bathroom (replace fixtures),Interior remodeling move electrical frame non-structural walls drywall paint flooring trim remodel of existing bathroom (replace fixtures),3913 TODD LN UNIT 512,Austin,N/A,N/A,N/A,5123711888,0,N/A,2
