permit_number,address,type,value,issued_date,status
HOU251110000,581 Kirby Dr,NEW CONSTRUCTION,388082,2025-09-06,ISSUED
HOU251110001,3377 Main St,NEW CONSTRUCTION,391601,2025-10-03,ISSUED
HOU251110002,3949 Shepherd Dr,REMODEL,490127,2025-10-10,ISSUED
HOU251110003,8371 Shepherd Dr,REMODEL,354318,2025-10-05,ISSUED
HOU251110004,1919 Main St,REMODEL,359096,2025-11-25,ISSUED
HOU251110005,8840 Richmond Ave,REMODEL,453870,2025-09-07,ISSUED
HOU251110006,9695 Main St,NEW CONSTRUCTION,151167,2025-11-25,ISSUED
HOU251110007,568 Shepherd Dr,REMODEL,383688,2025-11-21,ISSUED
HOU251110008,6212 Richmond Ave,ADDITION,438994,2025-10-08,ISSUED
HOU251110009,4043 Main St,REMODEL,103739,2025-11-07,ISSUED
HOU251110010,4770 Shepherd Dr,ADDITION,333400,2025-09-08,ISSUED
HOU251110011,4356 Richmond Ave,ADDITION,189220,2025-09-24,ISSUED
HOU251110012,1653 Shepherd Dr,NEW CONSTRUCTION,133886,2025-09-03,ISSUED
HOU251110013,7415 Richmond Ave,REMODEL,111066,2025-09-06,ISSUED
HOU251110014,7572 Kirby Dr,REMODEL,291818,2025-09-09,ISSUED
HOU251110015,1313 Richmond Ave,REMODEL,432209,2025-10-28,ISSUED
HOU251110016,7956 Shepherd Dr,REMODEL,275507,2025-09-10,ISSUED
HOU251110017,3860 Main St,NEW CONSTRUCTION,205583,2025-11-23,ISSUED
HOU251110018,4463 Main St,REMODEL,449440,2025-10-29,ISSUED
HOU251110019,408 Main St,ADDITION,170623,2025-11-19,ISSUED
HOU251110020,9198 Shepherd Dr,REMODEL,325693,2025-09-03,ISSUED
HOU251110021,5345 Memorial Dr,REMODEL,75285,2025-10-31,ISSUED
HOU251110022,2488 Shepherd Dr,REMODEL,370842,2025-08-31,ISSUED
HOU251110023,2073 Memorial Dr,NEW CONSTRUCTION,175064,2025-10-07,ISSUED
HOU251110024,7401 Westheimer Rd,REMODEL,385754,2025-09-26,ISSUED
HOU251110025,2786 Kirby Dr,NEW CONSTRUCTION,243030,2025-11-04,ISSUED
HOU251110026,1340 Shepherd Dr,REMODEL,129243,2025-11-10,ISSUED
HOU251110027,3752 Kirby Dr,REMODEL,290812,2025-10-08,ISSUED
HOU251110028,921 Memorial Dr,REMODEL,371282,2025-09-30,ISSUED
HOU251110029,2421 Main St,NEW CONSTRUCTION,479113,2025-11-17,ISSUED
HOU251110030,241 Shepherd Dr,REMODEL,94643,2025-09-02,ISSUED
HOU251110031,5658 Westheimer Rd,REMODEL,52976,2025-11-28,ISSUED
HOU251110032,631 Memorial Dr,REMODEL,460779,2025-11-08,ISSUED
HOU251110033,6712 Westheimer Rd,NEW CONSTRUCTION,217125,2025-10-29,ISSUED
HOU251110034,1448 Kirby Dr,REMODEL,244818,2025-09-18,ISSUED
HOU251110035,1253 Westheimer Rd,REMODEL,146218,2025-11-18,ISSUED
HOU251110036,2075 Westheimer Rd,REMODEL,371297,2025-09-12,ISSUED
HOU251110037,9563 Memorial Dr,ADDITION,94904,2025-11-05,ISSUED
HOU251110038,6228 Memorial Dr,REMODEL,384017,2025-10-17,ISSUED
HOU251110039,8799 Kirby Dr,REMODEL,53576,2025-10-22,ISSUED
HOU251110040,4158 Main St,ADDITION,447078,2025-10-23,ISSUED
HOU251110041,8181 Shepherd Dr,REMODEL,476488,2025-09-15,ISSUED
HOU251110042,6318 Westheimer Rd,ADDITION,306822,2025-10-25,ISSUED
HOU251110043,9373 Westheimer Rd,ADDITION,224611,2025-11-01,ISSUED
HOU251110044,1246 Memorial Dr,REMODEL,64973,2025-09-04,ISSUED
HOU251110045,7026 Main St,ADDITION,368307,2025-09-04,ISSUED
HOU251110046,9962 Richmond Ave,NEW CONSTRUCTION,424891,2025-10-28,ISSUED
HOU251110047,3417 Westheimer Rd,ADDITION,400021,2025-11-11,ISSUED
HOU251110048,2462 Main St,ADDITION,357215,2025-11-22,ISSUED
HOU251110049,1970 Main St,REMODEL,334923,2025-11-25,ISSUED
HOU251110050,2363 Memorial Dr,REMODEL,356671,2025-09-11,ISSUED
HOU251110051,3888 Westheimer Rd,REMODEL,423905,2025-10-31,ISSUED
HOU251110052,3690 Shepherd Dr,REMODEL,324525,2025-11-14,ISSUED
HOU251110053,7016 Richmond Ave,ADDITION,412079,2025-11-02,ISSUED
HOU251110054,1293 Shepherd Dr,REMODEL,119426,2025-11-09,ISSUED
HOU251110055,1993 Main St,REMODEL,209274,2025-11-07,ISSUED
HOU251110056,3425 Main St,REMODEL,296725,2025-10-11,ISSUED
HOU251110057,537 Kirby Dr,REMODEL,356165,2025-09-08,ISSUED
HOU251110058,591 Westheimer Rd,REMODEL,174200,2025-11-24,ISSUED
HOU251110059,1370 Memorial Dr,ADDITION,301267,2025-10-06,ISSUED
HOU251110060,639 Shepherd Dr,REMODEL,441076,2025-10-17,ISSUED
HOU251110061,9946 Westheimer Rd,ADDITION,62977,2025-10-14,ISSUED
HOU251110062,6109 Shepherd Dr,REMODEL,477284,2025-09-27,ISSUED
HOU251110063,9117 Westheimer Rd,ADDITION,288868,2025-10-01,ISSUED
HOU251110064,2533 Richmond Ave,REMODEL,99803,2025-09-03,ISSUED
HOU251110065,832 Kirby Dr,ADDITION,220982,2025-09-03,ISSUED
HOU251110066,8349 Richmond Ave,REMODEL,466859,2025-09-25,ISSUED
HOU251110067,1317 Shepherd Dr,NEW CONSTRUCTION,171358,2025-10-18,ISSUED
HOU251110068,6728 Westheimer Rd,REMODEL,461801,2025-09-28,ISSUED
HOU251110069,2395 Richmond Ave,NEW CONSTRUCTION,201281,2025-10-26,ISSUED
HOU251110070,9984 Main St,NEW CONSTRUCTION,323486,2025-09-28,ISSUED
HOU251110071,2619 Richmond Ave,REMODEL,413043,2025-11-14,ISSUED
HOU251110072,4208 Shepherd Dr,NEW CONSTRUCTION,407443,2025-10-11,ISSUED
HOU251110073,566 Memorial Dr,REMODEL,132715,2025-11-23,ISSUED
HOU251110074,6127 Kirby Dr,ADDITION,470980,2025-09-15,ISSUED
HOU251110075,2842 Richmond Ave,ADDITION,284361,2025-11-03,ISSUED
HOU251110076,7709 Shepherd Dr,REMODEL,254220,2025-11-06,ISSUED
HOU251110077,905 Westheimer Rd,NEW CONSTRUCTION,368881,2025-09-30,ISSUED
HOU251110078,2283 Main St,NEW CONSTRUCTION,371625,2025-11-22,ISSUED
HOU251110079,3488 Westheimer Rd,NEW CONSTRUCTION,356878,2025-10-21,ISSUED
HOU251110080,3180 Westheimer Rd,NEW CONSTRUCTION,291728,2025-11-17,ISSUED
HOU251110081,6636 Kirby Dr,NEW CONSTRUCTION,213543,2025-10-23,ISSUED
HOU251110082,6131 Main St,ADDITION,322624,2025-09-01,ISSUED
HOU251110083,3097 Richmond Ave,NEW CONSTRUCTION,180347,2025-11-27,ISSUED
HOU251110084,4107 Main St,NEW CONSTRUCTION,454482,2025-11-06,ISSUED
HOU251110085,2918 Richmond Ave,NEW CONSTRUCTION,119618,2025-10-13,ISSUED
HOU251110086,7912 Main St,NEW CONSTRUCTION,87805,2025-10-01,ISSUED
HOU251110087,6090 Westheimer Rd,ADDITION,75076,2025-10-20,ISSUED
HOU251110088,9303 Kirby Dr,ADDITION,292264,2025-11-16,ISSUED
HOU251110089,8777 Westheimer Rd,REMODEL,296081,2025-09-17,ISSUED
HOU251110090,7950 Main St,REMODEL,274705,2025-09-26,ISSUED
HOU251110091,8985 Richmond Ave,ADDITION,403968,2025-09-16,ISSUED
HOU251110092,4902 Kirby Dr,REMODEL,147597,2025-10-17,ISSUED
HOU251110093,1032 Shepherd Dr,ADDITION,300366,2025-11-13,ISSUED
HOU251110094,8554 Shepherd Dr,REMODEL,418610,2025-11-18,ISSUED
HOU251110095,849 Shepherd Dr,REMODEL,363477,2025-11-26,ISSUED
HOU251110096,7367 Westheimer Rd,REMODEL,178542,2025-11-08,ISSUED
HOU251110097,9864 Memorial Dr,NEW CONSTRUCTION,82698,2025-11-09,ISSUED
HOU251110098,4810 Kirby Dr,ADDITION,285805,2025-09-20,ISSUED
HOU251110099,823 Westheimer Rd,NEW CONSTRUCTION,466498,2025-10-19,ISSUED
HOU251110100,4062 Memorial Dr,REMODEL,105716,2025-10-29,ISSUED
HOU251110101,3356 Westheimer Rd,ADDITION,153552,2025-11-08,ISSUED
HOU251110102,3193 Westheimer Rd,REMODEL,208607,2025-11-27,ISSUED
HOU251110103,2676 Kirby Dr,NEW CONSTRUCTION,281596,2025-11-26,ISSUED
HOU251110104,2825 Richmond Ave,NEW CONSTRUCTION,163393,2025-09-04,ISSUED
HOU251110105,1160 Westheimer Rd,REMODEL,52042,2025-10-07,ISSUED
HOU251110106,1472 Westheimer Rd,ADDITION,402195,2025-10-18,ISSUED
HOU251110107,4705 Westheimer Rd,ADDITION,225201,2025-10-13,ISSUED
