permit_number,address,type,value,issued_date,status
NSH251110000,7989 Church St,NEW CONSTRUCTION,255402,2025-09-22,ISSUED
NSH251110001,3701 Woodland St,NEW CONSTRUCTION,416844,2025-09-26,ISSUED
NSH251110002,4979 West End Ave,REMODEL,394838,2025-10-28,ISSUED
NSH251110003,8620 Woodland St,NEW CONSTRUCTION,214975,2025-11-18,ISSUED
NSH251110004,5735 West End Ave,NEW CONSTRUCTION,112857,2025-10-04,ISSUED
NSH251110005,3135 Broadway,ADDITION,453161,2025-10-08,ISSUED
NSH251110006,2846 Charlotte Ave,ADDITION,473148,2025-11-06,ISSUED
NSH251110007,2841 Woodland St,NEW CONSTRUCTION,341105,2025-09-01,ISSUED
NSH251110008,2945 Church St,NEW CONSTRUCTION,414848,2025-10-18,ISSUED
NSH251110009,4047 Woodland St,ADDITION,124257,2025-11-11,ISSUED
NSH251110010,9828 Woodland St,ADDITION,196852,2025-09-20,ISSUED
NSH251110011,2132 Church St,ADDITION,79074,2025-09-03,ISSUED
NSH251110012,3562 Woodland St,ADDITION,296556,2025-09-01,ISSUED
NSH251110013,821 West End Ave,ADDITION,389213,2025-10-22,ISSUED
NSH251110014,4383 West End Ave,NEW CONSTRUCTION,52903,2025-09-09,ISSUED
NSH251110015,2273 Church St,NEW CONSTRUCTION,386688,2025-10-03,ISSUED
NSH251110016,7870 Woodland St,NEW CONSTRUCTION,217776,2025-10-02,ISSUED
NSH251110017,1130 Woodland St,REMODEL,342250,2025-09-07,ISSUED
NSH251110018,5870 Charlotte Ave,REMODEL,280151,2025-10-22,ISSUED
NSH251110019,2056 Broadway,NEW CONSTRUCTION,121538,2025-09-29,ISSUED
NSH251110020,380 West End Ave,REMODEL,134868,2025-10-10,ISSUED
NSH251110021,4232 West End Ave,ADDITION,177541,2025-09-07,ISSUED
NSH251110022,2643 West End Ave,REMODEL,356772,2025-11-07,ISSUED
NSH251110023,7999 Church St,NEW CONSTRUCTION,87399,2025-09-22,ISSUED
NSH251110024,6438 Broadway,REMODEL,368475,2025-10-24,ISSUED
NSH251110025,9928 Charlotte Ave,ADDITION,468506,2025-10-24,ISSUED
NSH251110026,7656 Broadway,ADDITION,360917,2025-09-13,ISSUED
NSH251110027,9447 West End Ave,ADDITION,187711,2025-11-27,ISSUED
NSH251110028,9870 West End Ave,NEW CONSTRUCTION,304052,2025-09-08,ISSUED
NSH251110029,2378 Charlotte Ave,REMODEL,59256,2025-10-20,ISSUED
NSH251110030,9756 Charlotte Ave,ADDITION,283306,2025-11-06,ISSUED
NSH251110031,4968 Church St,ADDITION,177802,2025-09-26,ISSUED
NSH251110032,8165 Church St,REMODEL,129914,2025-11-16,ISSUED
NSH251110033,2731 Woodland St,ADDITION,361358,2025-11-28,ISSUED
NSH251110034,2925 Broadway,ADDITION,185079,2025-09-12,ISSUED
NSH251110035,5383 Woodland St,ADDITION,376927,2025-10-13,ISSUED
NSH251110036,8534 Charlotte Ave,ADDITION,305963,2025-09-29,ISSUED
NSH251110037,2635 Broadway,NEW CONSTRUCTION,242000,2025-09-16,ISSUED
NSH251110038,9630 Charlotte Ave,REMODEL,427875,2025-09-22,ISSUED
NSH251110039,6955 Church St,REMODEL,486924,2025-10-12,ISSUED
NSH251110040,2149 Church St,ADDITION,176248,2025-10-26,ISSUED
NSH251110041,7641 Charlotte Ave,REMODEL,189091,2025-09-11,ISSUED
NSH251110042,283 Broadway,REMODEL,392926,2025-09-27,ISSUED
NSH251110043,4013 Woodland St,ADDITION,345379,2025-11-09,ISSUED
NSH251110044,191 Charlotte Ave,NEW CONSTRUCTION,480318,2025-11-07,ISSUED
NSH251110045,4849 West End Ave,REMODEL,140806,2025-11-18,ISSUED
NSH251110046,6313 Church St,NEW CONSTRUCTION,296554,2025-09-12,ISSUED
NSH251110047,9683 Church St,ADDITION,497923,2025-11-20,ISSUED
NSH251110048,3892 Woodland St,REMODEL,135790,2025-10-21,ISSUED
NSH251110049,5329 Charlotte Ave,ADDITION,412608,2025-10-31,ISSUED
NSH251110050,8283 West End Ave,NEW CONSTRUCTION,227807,2025-11-27,ISSUED
NSH251110051,4145 West End Ave,NEW CONSTRUCTION,243811,2025-11-21,ISSUED
NSH251110052,9111 Woodland St,ADDITION,402972,2025-10-06,ISSUED
NSH251110053,6958 Church St,REMODEL,467118,2025-11-19,ISSUED
NSH251110054,8085 Woodland St,ADDITION,474142,2025-09-25,ISSUED
NSH251110055,7576 West End Ave,ADDITION,306241,2025-10-14,ISSUED
NSH251110056,5400 Woodland St,ADDITION,484831,2025-11-03,ISSUED
NSH251110057,4688 Woodland St,REMODEL,324612,2025-11-08,ISSUED
NSH251110058,2050 Woodland St,REMODEL,72610,2025-10-27,ISSUED
