permit_number,issue_date,work_type,project_name,description,address,city,zip_code,owner_name,contractor,contractor_phone,estimated_cost,status,council_district
NSH251110000,2025-11-28,REPAIR,Repair Project,REPAIR at 3575 Church St,3575 Church St,Nashville,37212,Anderson Group,East Nashville Construction,(615) 568-3600,23604,PENDING,33
NSH251110001,2025-11-22,RESIDENTIAL,Residential Project,RESIDENTIAL at 5299 Nolensville Pike,5299 Nolensville Pike,Nashville,37209,Anderson Group,Music City Construction,N/A,78405,FINAL,7
NSH251110002,2025-11-25,ROOFING,Roofing Project,ROOFING at 3581 Charlotte Ave,3581 Charlotte Ave,Nashville,37212,Brown Holdings,N/A,(615) 873-3026,57237,APPROVED,19
NSH251110003,2025-11-11,ALTERATION,Alteration Project,ALTERATION at 7520 Hillsboro Pike,7520 Hillsboro Pike,Nashville,37205,Brown Holdings,Nashville Home Improvement,N/A,94457,APPROVED,34
NSH251110004,2025-11-04,NEW CONSTRUCTION,New Construction Project,NEW CONSTRUCTION at 755 Nolensville Pike,755 Nolensville Pike,Nashville,37201,Miller Construction,Brentwood Builders Inc,(615) 306-2903,491048,APPROVED,33
NSH251110005,2025-11-12,COMMERCIAL,Commercial Project,COMMERCIAL at 387 Charlotte Ave,387 Charlotte Ave,Nashville,37209,Martinez LLC,Volunteer State Contractors,(615) 793-6782,1877920,PENDING,35
NSH251110006,2025-11-27,ELECTRICAL,Electrical Project,ELECTRICAL at 4274 Murfreesboro Pike,4274 Murfreesboro Pike,Nashville,37208,Anderson Group,Nashville Builders LLC,(615) 656-1816,56178,APPROVED,2
NSH251110007,2025-11-04,ADDITION,Addition Project,ADDITION at 1936 Dickerson Pike,1936 Dickerson Pike,Nashville,37208,Miller Construction,Green Hills Builders,N/A,403309,APPROVED,1
NSH251110008,2025-11-03,RESIDENTIAL,Residential Project,RESIDENTIAL at 5442 Lebanon Pike,5442 Lebanon Pike,Nashville,37206,Brown Holdings,N/A,N/A,69074,ISSUED,2
NSH251110009,2025-11-10,COMMERCIAL,Commercial Project,COMMERCIAL at 5501 Hillsboro Pike,5501 Hillsboro Pike,Nashville,37201,Davis Investments,East Nashville Construction,(615) 288-1091,1388391,APPROVED,6
NSH251110010,2025-11-07,REMODEL,Remodel Project,REMODEL at 939 Woodland St,939 Woodland St,Nashville,37203,Smith Development LLC,Tennessee Premier Builders,(615) 497-7688,302560,FINAL,33
NSH251110011,2025-11-15,PLUMBING,Plumbing Project,PLUMBING at 8012 Charlotte Ave,8012 Charlotte Ave,Nashville,37215,Martinez LLC,N/A,(615) 207-6371,87752,PENDING,1
NSH251110012,2025-11-13,MECHANICAL,Mechanical Project,MECHANICAL at 660 Franklin Pike,660 Franklin Pike,Nashville,37211,Thomas Enterprises,Brentwood Builders Inc,(615) 416-8962,20494,PENDING,3
NSH251010013,2025-10-31,ELECTRICAL,Electrical Project,ELECTRICAL at 4846 Broadway,4846 Broadway,Nashville,37206,Anderson Group,N/A,(615) 825-4846,17409,APPROVED,5
NSH251110014,2025-11-05,DEMOLITION,Demolition Project,DEMOLITION at 954 21st Ave,954 21st Ave,Nashville,37204,Martinez LLC,Green Hills Builders,(615) 782-1126,47109,APPROVED,35
NSH251110015,2025-11-17,ALTERATION,Alteration Project,ALTERATION at 1565 Dickerson Pike,1565 Dickerson Pike,Nashville,37203,Thomas Enterprises,N/A,(615) 689-1234,27187,PENDING,20
NSH251110016,2025-11-03,ADDITION,Addition Project,ADDITION at 9391 Hillsboro Pike,9391 Hillsboro Pike,Nashville,37206,Williams Ventures,Brentwood Builders Inc,(615) 205-6018,207995,FINAL,21
NSH251110017,2025-11-06,DEMOLITION,Demolition Project,DEMOLITION at 6590 Murfreesboro Pike,6590 Murfreesboro Pike,Nashville,37204,Smith Development LLC,Brentwood Builders Inc,N/A,38789,FINAL,6
