permit_number,address,type,value
PP25111000,"1365 Camelback Rd, Phoenix, AZ",POOL,"$126,647"
PP25111001,"4692 Glendale Ave, Phoenix, AZ",COMMERCIAL,"$136,642"
PP25111002,"1644 Camelback Rd, Phoenix, AZ",POOL,"$438,017"
PP25111003,"6305 Scottsdale Rd, Phoenix, AZ",COMMERCIAL,"$468,035"
PP25111004,"8848 Glendale Ave, Phoenix, AZ",ADDITION,"$344,931"
PP25111005,"9689 Camelback Rd, Phoenix, AZ",ADDITION,"$329,969"
PP25111006,"2194 Glendale Ave, Phoenix, AZ",ADDITION,"$484,912"
PP25111007,"1102 Scottsdale Rd, Phoenix, AZ",ADDITION,"$164,764"
PP25111008,"6041 Indian School Rd, Phoenix, AZ",REMODEL,"$177,475"
PP25111009,"6219 Indian School Rd, Phoenix, AZ",ADDITION,"$482,874"
PP25111010,"2513 Scottsdale Rd, Phoenix, AZ",POOL,"$295,068"
PP25111011,"1213 Camelback Rd, Phoenix, AZ",SOLAR,"$413,191"
PP25111012,"5789 Central Ave, Phoenix, AZ",ADDITION,"$347,299"
PP25111013,"7511 Central Ave, Phoenix, AZ",REMODEL,"$184,261"
PP25111014,"3671 Scottsdale Rd, Phoenix, AZ",REMODEL,"$311,972"
PP25111015,"4398 Scottsdale Rd, Phoenix, AZ",RESIDENTIAL,"$333,218"
PP25111016,"4258 Glendale Ave, Phoenix, AZ",RESIDENTIAL,"$438,330"
PP25111017,"4600 Glendale Ave, Phoenix, AZ",COMMERCIAL,"$247,748"
PP25111018,"9367 Scottsdale Rd, Phoenix, AZ",COMMERCIAL,"$386,504"
PP25111019,"2655 Indian School Rd, Phoenix, AZ",POOL,"$443,258"
PP25111020,"4934 Glendale Ave, Phoenix, AZ",REMODEL,"$436,877"
PP25111021,"6088 Glendale Ave, Phoenix, AZ",COMMERCIAL,"$230,571"
PP25111022,"2631 Indian School Rd, Phoenix, AZ",REMODEL,"$333,089"
PP25111023,"1939 Central Ave, Phoenix, AZ",ADDITION,"$278,025"
PP25111024,"9870 Indian School Rd, Phoenix, AZ",COMMERCIAL,"$178,658"
PP25111025,"6363 Scottsdale Rd, Phoenix, AZ",REMODEL,"$388,032"
PP25111026,"5492 Camelback Rd, Phoenix, AZ",COMMERCIAL,"$114,418"
PP25111027,"395 Camelback Rd, Phoenix, AZ",ADDITION,"$108,073"
PP25111028,"1786 Central Ave, Phoenix, AZ",REMODEL,"$376,216"
PP25111029,"2544 Glendale Ave, Phoenix, AZ",RESIDENTIAL,"$488,064"
PP25111030,"8404 Scottsdale Rd, Phoenix, AZ",SOLAR,"$338,035"
PP25111031,"4648 Central Ave, Phoenix, AZ",ADDITION,"$119,794"
PP25111032,"6068 Central Ave, Phoenix, AZ",POOL,"$226,392"
PP25111033,"7756 Glendale Ave, Phoenix, AZ",POOL,"$224,590"
PP25111034,"6225 Scottsdale Rd, Phoenix, AZ",POOL,"$176,166"
PP25111035,"3433 Scottsdale Rd, Phoenix, AZ",COMMERCIAL,"$257,722"
PP25111036,"488 Scottsdale Rd, Phoenix, AZ",COMMERCIAL,"$444,388"
PP25111037,"4297 Indian School Rd, Phoenix, AZ",REMODEL,"$107,039"
PP25111038,"192 Glendale Ave, Phoenix, AZ",COMMERCIAL,"$185,509"
PP25111039,"5939 Indian School Rd, Phoenix, AZ",SOLAR,"$487,331"
PP25111040,"641 Central Ave, Phoenix, AZ",SOLAR,"$475,678"
PP25111041,"4734 Central Ave, Phoenix, AZ",ADDITION,"$298,413"
PP25111042,"7895 Indian School Rd, Phoenix, AZ",ADDITION,"$199,823"
PP25111043,"8871 Indian School Rd, Phoenix, AZ",SOLAR,"$145,795"
PP25111044,"7007 Indian School Rd, Phoenix, AZ",REMODEL,"$175,267"
PP25111045,"896 Central Ave, Phoenix, AZ",SOLAR,"$460,725"
PP25111046,"5913 Central Ave, Phoenix, AZ",RESIDENTIAL,"$389,937"
PP25111047,"7475 Glendale Ave, Phoenix, AZ",REMODEL,"$416,866"
PP25111048,"8444 Central Ave, Phoenix, AZ",POOL,"$149,302"
PP25111049,"3661 Camelback Rd, Phoenix, AZ",ADDITION,"$429,396"
