permit_number,address,type,value,issued_date,status
SA251110000,2533 San Pedro Ave,NEW CONSTRUCTION,456704,2025-09-27,ISSUED
SA251110001,1435 San Pedro Ave,ADDITION,155972,2025-11-25,ISSUED
SA251110002,7871 Broadway,REMODEL,387692,2025-11-10,ISSUED
SA251110003,5024 Commerce St,NEW CONSTRUCTION,364648,2025-09-02,ISSUED
SA251110004,1689 Commerce St,NEW CONSTRUCTION,433729,2025-11-14,ISSUED
SA251110005,9002 Houston St,NEW CONSTRUCTION,103844,2025-11-04,ISSUED
SA251110006,3725 San Pedro Ave,NEW CONSTRUCTION,96464,2025-10-22,ISSUED
SA251110007,8592 San Pedro Ave,NEW CONSTRUCTION,124086,2025-09-06,ISSUED
SA251110008,3921 Broadway,REMODEL,337769,2025-10-16,ISSUED
SA251110009,3845 Houston St,ADDITION,484289,2025-10-25,ISSUED
SA251110010,5318 San Pedro Ave,NEW CONSTRUCTION,184725,2025-10-12,ISSUED
SA251110011,1854 Houston St,ADDITION,277721,2025-11-18,ISSUED
SA251110012,4081 Commerce St,REMODEL,405521,2025-11-18,ISSUED
SA251110013,6866 Broadway,ADDITION,81668,2025-11-07,ISSUED
SA251110014,1509 Broadway,REMODEL,426184,2025-09-10,ISSUED
SA251110015,4667 Broadway,ADDITION,178855,2025-10-16,ISSUED
SA251110016,9166 Broadway,NEW CONSTRUCTION,462264,2025-09-24,ISSUED
SA251110017,1292 Commerce St,NEW CONSTRUCTION,188655,2025-09-27,ISSUED
SA251110018,7548 Commerce St,REMODEL,79343,2025-10-31,ISSUED
SA251110019,2096 Commerce St,ADDITION,53564,2025-11-21,ISSUED
SA251110020,8245 Houston St,NEW CONSTRUCTION,361406,2025-09-13,ISSUED
SA251110021,5351 Commerce St,ADDITION,423847,2025-10-13,ISSUED
SA251110022,163 Houston St,REMODEL,395546,2025-09-26,ISSUED
SA251110023,9343 Broadway,ADDITION,428258,2025-10-06,ISSUED
SA251110024,6309 Commerce St,ADDITION,222210,2025-09-23,ISSUED
SA251110025,1207 Commerce St,ADDITION,457170,2025-11-11,ISSUED
SA251110026,4264 San Pedro Ave,REMODEL,58594,2025-09-28,ISSUED
SA251110027,1885 Commerce St,REMODEL,449241,2025-11-08,ISSUED
SA251110028,9828 San Pedro Ave,ADDITION,447315,2025-09-22,ISSUED
SA251110029,4308 San Pedro Ave,NEW CONSTRUCTION,249382,2025-11-17,ISSUED
SA251110030,7469 Broadway,ADDITION,342649,2025-11-01,ISSUED
SA251110031,9285 Broadway,REMODEL,336769,2025-10-29,ISSUED
SA251110032,6568 Houston St,NEW CONSTRUCTION,431579,2025-10-28,ISSUED
SA251110033,9534 Commerce St,NEW CONSTRUCTION,148506,2025-09-04,ISSUED
SA251110034,4127 San Pedro Ave,REMODEL,302505,2025-11-07,ISSUED
SA251110035,6249 Broadway,REMODEL,205577,2025-11-15,ISSUED
SA251110036,4495 Houston St,REMODEL,276664,2025-11-06,ISSUED
SA251110037,7212 Commerce St,REMODEL,259589,2025-11-08,ISSUED
